config_id,simulation_type,num_of_agents,num_iterations,mio,mio_dist_type,num_of_repetitions,switch_agent_rate,switch_agent_sigma,radical_exposure_eta,truncate_at,epsilon,mark_stubborn_at,display_name,status,timestamp,audit_every_x_iterations
8b67bf54-3e69-49cb-a4b3-8add4af45412,REPULSIVE,100,10000,0.2,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
afd056a4-fb9f-494c-91e2-fad3086570f8,REPULSIVE,100,10000,0.2,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
25b10c9e-a9c7-46fe-a807-6d8e01770bb8,REPULSIVE,100,10000,0.2,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
eb9384b1-17bf-466c-b19c-20f9f074cc41,REPULSIVE,100,10000,0.2,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
d1332794-9962-4771-8baa-212f3b1730c2,REPULSIVE,100,10000,0.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
e8ad0e69-3518-4a93-81c2-94c1b554c79c,REPULSIVE,100,10000,0.4,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
7aceb10c-0ede-40e5-be06-39afd894ceef,REPULSIVE,100,10000,0.4,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
d279891b-51a2-4247-8d01-2eb867245b1f,REPULSIVE,100,10000,0.4,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
66439e60-92b9-4dd4-9231-baf40e767e16,REPULSIVE,100,10000,0.8,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
226fc7bb-309a-4124-a3e0-d77d3c4842e7,REPULSIVE,100,10000,0.8,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
a33fb695-f6cd-4b0f-9398-8c4ae0a01bb2,REPULSIVE,100,10000,0.8,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
859ee67f-637e-45c3-8f77-8d5d33801208,REPULSIVE,100,10000,0.8,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
6bbfbad7-3e32-4def-881d-2af079f66ce8,REPULSIVE,100,10000,1.0,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
317040a1-e2f6-4f12-b1c3-e9869aaa3439,REPULSIVE,100,10000,1.0,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
d7638a02-d020-4f36-adb7-e215ce98f616,REPULSIVE,100,10000,1.0,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
880d4e3b-d2f3-490b-a5e8-bd2964b52221,REPULSIVE,100,10000,1.0,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
58236024-8b0d-403f-94da-6a6738accef2,REPULSIVE,100,10000,1.2,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
66631538-5b91-4202-b4c0-fa9ee26f979d,REPULSIVE,100,10000,1.2,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
c813525f-1cea-438e-ab30-23f3000872a9,REPULSIVE,100,10000,1.2,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
74353134-f938-4eb6-a6c4-4d3a0180a107,REPULSIVE,100,10000,1.2,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
374dd6ec-c3bc-4ec1-a2d9-eab6f4740948,REPULSIVE,100,10000,1.4,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
9f347d95-7c2e-440e-a600-006b483707a1,REPULSIVE,100,10000,1.4,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
606dd296-429f-4b69-9f17-f7e4d86656e9,REPULSIVE,100,10000,1.4,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
591aff2f-4142-4f87-90f3-509f0a14defe,REPULSIVE,100,10000,1.4,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
5341c11f-158b-41c3-8581-f268711ed440,REPULSIVE,100,10000,1.6,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
e1c65d3b-add6-4d2b-8904-a1460e0a1287,REPULSIVE,100,10000,1.6,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
3585db66-aa29-4530-a663-b7d0f8b866c6,REPULSIVE,100,10000,1.6,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
21348824-75fd-41ff-9a12-ec0585095028,REPULSIVE,100,10000,1.6,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
e4d4512e-f57f-4ed2-aebf-971bee06ae37,REPULSIVE,100,10000,1.8,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
99178cb3-e161-40f1-82f1-ae6809e6af07,REPULSIVE,100,10000,1.8,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
fc317170-5d0d-4362-8ed5-da036844ebad,REPULSIVE,100,10000,1.8,UP,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
a52b5b64-227e-476b-9e88-72cdd36f9ddf,REPULSIVE,100,10000,1.8,DOWN,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
e89e30cd-f8fb-4024-a0d1-a502fcf0bba4,REPULSIVE,100,10000,2.0,NULL,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
092fa5e9-3809-442d-8733-6afbb6f1a857,REPULSIVE,100,10000,2.0,UNIFORM,40,NULL,NULL,NULL,0.0001,0.2,0.1,Epsilon = 0.1,RunStatus.SUCCESS,1674926172767,250.0
